query_id,doc_id,position0,position1,position2,position3,position4,position5,position6,position7,position8,position9,bird_count,cat_count,dog_count,tiger_count,relevance
0,0,3,5,0,6,4,0,2,8,-1,-1,3,2,2,0,0.4847325467104354
0,1,3,5,0,6,4,0,2,8,-1,-1,0,2,1,1,0.44982418252523193
0,2,3,5,0,6,4,0,2,8,-1,-1,2,0,1,0,0.360771959757067
0,3,3,5,0,6,4,0,2,8,-1,-1,0,1,0,1,0.24997005515315174
0,4,3,5,0,6,4,0,2,8,-1,-1,0,1,1,3,0.22658657483069966
0,5,3,5,0,6,4,0,2,8,-1,-1,3,2,0,2,0.3053196575478294
0,6,3,5,0,6,4,0,2,8,-1,-1,1,1,1,1,0.36717205941931674
0,7,3,5,0,6,4,0,2,8,-1,-1,1,1,1,0,0.5806522106589268
0,8,3,5,0,6,4,0,2,8,-1,-1,0,1,1,1,0.36717205941931674
0,9,3,5,0,6,4,0,2,8,-1,-1,0,0,0,3,0.14875465701459267
0,10,3,5,0,6,4,0,2,8,-1,-1,0,3,2,0,0.5302377639460795
0,11,3,5,0,6,4,0,2,8,-1,-1,3,0,0,0,0.2928932188134524
0,12,3,5,0,6,4,0,2,8,-1,-1,0,1,2,1,0.44982418252523193
0,13,3,5,0,6,4,0,2,8,-1,-1,1,0,1,1,0.24997005515315174
0,14,3,5,0,6,4,0,2,8,-1,-1,0,2,3,0,0.5302377639460795
1,0,3,7,1,5,4,0,6,-1,-1,-1,3,2,2,0,0.4511523340738124
1,1,3,7,1,5,4,0,6,-1,-1,-1,0,2,1,1,0.24444152991702284
1,2,3,7,1,5,4,0,6,-1,-1,-1,2,0,1,0,0.39990151335043833
1,3,3,7,1,5,4,0,6,-1,-1,-1,0,1,0,1,0.13187349605688947
1,4,3,7,1,5,4,0,6,-1,-1,-1,0,1,1,3,0.1155621450348987
1,5,3,7,1,5,4,0,6,-1,-1,-1,3,2,0,2,0.26806201630663384
1,6,3,7,1,5,4,0,6,-1,-1,-1,1,1,1,1,0.5485153717749387
1,7,3,7,1,5,4,0,6,-1,-1,-1,1,1,1,0,0.5485153717749387
1,8,3,7,1,5,4,0,6,-1,-1,-1,0,1,1,1,0.34464040765871706
